Customer_ID,Age,Gender,Purchase_Count,Average_Spending,Product_Category,Visit_Frequency,Last_Visit,Customer_Loyalty_Score
1,52,Other,3,92.8905466551515,Home,0,10,4
2,25,Male,5,241.3474734487415,Books,2,6,8
3,29,Male,8,259.6479115212742,Electronics,2,13,5
4,47,Other,9,104.58600064199237,Books,0,4,4
5,59,Other,3,26.102376012872448,Fashion,3,1,6
6,35,Male,8,208.67696430522892,Fashion,3,14,5
7,62,Other,2,50.73628597289943,Electronics,1,9,9
8,48,Other,5,134.30380167704118,Fashion,3,2,4
9,48,Other,4,36.205988508583594,Fashion,4,19,8
10,63,Other,5,148.39682669870697,Electronics,2,23,3
11,64,Male,6,104.892454482296,Books,1,23,7
12,28,Male,6,65.29215955515696,Home,1,20,6
13,42,Male,2,181.52426647843438,Books,2,23,7
14,35,Other,10,151.79229516486464,Toys,4,20,4
15,33,Other,4,107.93142709620871,Electronics,1,27,4
16,61,Other,5,37.05149088604032,Books,1,11,2
17,24,Female,3,172.51323208968316,Home,2,29,2
18,32,Female,7,230.25513294626853,Home,3,12,7
19,34,Male,7,29.91350737804877,Fashion,0,25,4
20,29,Other,2,15.962333006860987,Toys,1,9,9
21,28,Female,3,291.0524810369324,Toys,2,1,6
22,27,Female,5,21.10300070207509,Home,2,20,7
23,46,Male,3,234.3822113108627,Toys,4,4,8
24,49,Other,5,71.97153210359535,Books,1,12,1
25,35,Female,8,111.49499973456214,Fashion,3,4,4
26,38,Male,3,89.9219568139221,Home,4,4,4
27,59,Other,4,174.26334275149264,Books,2,15,8
28,45,Male,4,14.533604978920401,Fashion,1,4,5
29,31,Female,5,164.2487945629582,Home,2,16,8
30,45,Other,2,148.59573846993393,Books,1,17,7
31,64,Female,1,144.01236177722242,Books,0,3,9
32,33,Male,7,13.251064725792741,Toys,2,18,2
33,30,Female,4,32.49473632247783,Fashion,2,21,8
34,47,Female,5,165.94283662991913,Fashion,3,1,9
35,54,Other,3,197.2595571884834,Electronics,2,13,8
36,36,Female,5,8.132947456400927,Home,2,22,8
37,35,Other,2,134.63164309546167,Books,1,8,6
38,23,Male,3,91.54181404319539,Home,3,12,5
39,43,Male,3,78.02491817121229,Books,1,16,8
40,46,Other,15,55.70476421725859,Home,2,3,3
41,37,Other,2,181.06386900735953,Books,2,22,9
42,54,Male,6,163.76432278099787,Electronics,1,16,8
43,29,Male,4,89.84042952008552,Home,4,9,8
44,57,Other,2,65.0759114070431,Toys,5,23,7
45,45,Other,4,18.632774191305888,Toys,3,6,1
46,35,Female,4,75.17938728737829,Toys,2,7,6
47,23,Male,6,343.4524502989896,Home,2,11,1
48,19,Other,2,102.69060421195724,Electronics,2,15,6
49,26,Female,5,6.8666699031809735,Home,2,5,6
50,47,Other,5,145.89536482856835,Books,1,20,2
51,29,Male,3,218.48679640021186,Home,4,24,9
52,22,Male,8,373.1915670676149,Home,1,9,5
53,56,Female,5,10.71667588998747,Toys,2,24,2
54,19,Other,6,74.89626601479468,Books,3,24,4
55,55,Male,10,17.505275960058636,Fashion,2,28,3
56,25,Female,3,165.4615776735657,Books,1,7,6
57,23,Male,4,67.16217060512021,Home,1,20,1
58,28,Female,5,217.47416947626525,Fashion,1,9,1
59,48,Female,5,182.70401264160705,Fashion,1,9,3
60,27,Male,4,29.042716407498187,Electronics,0,7,6
61,54,Other,4,45.922689910822484,Books,5,4,2
62,39,Male,7,61.34630379163656,Home,1,18,8
63,50,Male,6,39.24411754312483,Fashion,0,21,5
64,26,Other,7,112.89956358184918,Home,1,15,1
65,53,Female,4,42.267671650681834,Home,2,10,9
66,40,Female,4,15.093813504181647,Electronics,3,17,3
67,64,Female,5,194.60884729152866,Fashion,1,23,3
68,48,Other,7,71.04248009015438,Home,5,21,1
